,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
57,Romeo Doubs,GB,WR,0.7,6.4,0.0,55.9,658.0,4.2,0.7,0.0,0.0,0,0.0,0.0
58,DeVante Parker,NE,WR,0.0,0.2,0.0,47.1,675.8,3.7,0.1,0.0,0.0,0,0.0,0.0
59,Adam Thielen,CAR,WR,0.6,4.0,0.0,54.2,631.9,4.2,0.1,0.0,0.0,0,0.0,0.0
60,Quentin Johnston,LAC,WR,2.4,14.0,0.1,47.0,663.2,3.7,0.7,0.0,0.0,0,0.0,0.0
61,Kadarius Toney,KC,WR,10.2,85.4,1.1,43.9,519.4,3.7,0.6,0.0,0.0,0,0.0,0.0
62,Jonathan Mingo,CAR,WR,1.2,12.7,0.1,48.7,670.7,3.3,0.4,0.0,0.0,0,0.0,0.0
63,Rondale Moore,ARI,WR,14.1,61.9,0.2,64.6,671.9,2.2,0.4,0.0,0.0,0,0.0,0.0
64,Curtis Samuel,WAS,WR,27.3,146.8,0.9,47.9,514.7,2.6,0.5,0.0,0.0,0,0.0,0.0
65,Van Jefferson,LAR,WR,0.7,5.0,0.0,42.9,617.1,3.9,0.1,0.0,0.0,0,0.0,0.0
66,Elijah Moore,CLE,WR,6.2,31.0,0.3,44.8,600.3,3.2,0.1,0.0,0.0,0,0.0,0.0
67,Marvin Mims Jr.,DEN,WR,1.3,9.9,0.0,46.3,628.6,3.4,0.7,0.0,0.0,0,0.0,0.0
68,K.J. Osborn,MIN,WR,2.9,14.3,0.1,49.5,562.2,4.2,0.2,0.0,0.0,0,0.0,0.0
69,Jayden Reed,GB,WR,3.5,21.2,0.1,46.8,614.4,3.2,0.7,0.0,0.0,0,0.0,0.0
70,Donovan Peoples-Jones,CLE,WR,0.4,0.5,0.0,43.6,640.2,3.1,0.6,0.0,0.0,0,0.0,0.0
71,Hunter Renfrow,LV,WR,0.4,3.7,0.0,61.1,597.6,3.4,0.6,0.0,0.0,0,0.0,0.0
72,Rashod Bateman,BAL,WR,0.0,0.2,0.0,40.9,619.6,3.1,0.9,0.0,0.0,0,0.0,0.0
73,Mecole Hardman Jr.,NYJ,WR,7.8,54.2,0.7,44.5,522.7,3.1,0.7,0.0,0.0,0,0.0,0.0
74,Jameson Williams,DET,WR,1.9,20.7,0.1,37.5,570.1,3.1,0.5,0.0,0.0,0,0.0,0.0
75,Alec Pierce,IND,WR,0.0,0.2,0.0,42.1,612.6,2.6,0.1,0.0,0.0,0,0.0,0.0
76,Kendrick Bourne,NE,WR,5.2,36.5,0.2,48.0,571.2,2.5,0.2,0.0,0.0,0,0.0,0.0
77,Isaiah Hodgins,NYG,WR,0.0,0.6,0.0,44.9,498.0,4.3,0.6,0.0,0.0,0,0.0,0.0
78,Rashid Shaheed,NO,WR,3.5,40.5,0.7,33.7,511.6,2.1,0.1,0.0,0.0,0,0.0,0.0
79,Darius Slayton,NYG,WR,0.5,1.8,0.0,38.1,566.3,2.4,0.5,0.0,0.0,0,0.0,0.0
80,Robert Woods,HOU,WR,4.0,20.2,0.2,52.7,526.8,2.5,0.4,0.0,0.0,0,0.0,0.0
81,Chase Claypool,CHI,WR,5.5,36.7,0.2,35.9,493.4,2.6,0.5,0.0,0.0,0,0.0,0.0
82,Marvin Jones Jr.,DET,WR,0.1,0.5,0.0,38.4,494.6,3.2,0.1,0.0,0.0,0,0.0,0.0
83,Mack Hollins,ATL,WR,0.4,11.8,0.1,42.1,489.1,2.7,0.2,0.0,0.0,0,0.0,0.0
84,Rashee Rice,KC,WR,1.1,7.6,0.0,33.4,477.3,3.0,0.4,0.0,0.0,0,0.0,0.0
85,John Metchie III,HOU,WR,0.8,7.2,0.0,38.6,487.5,2.4,0.2,0.0,0.0,0,0.0,0.0
86,Joshua Palmer,LAC,WR,0.5,1.9,0.0,41.6,485.8,2.3,0.1,0.0,0.0,0,0.0,0.0
87,Allen Robinson II,PIT,WR,0.1,0.4,0.0,38.7,467.0,2.6,0.1,0.0,0.0,0,0.0,0.0
88,Parris Campbell,NYG,WR,3.3,34.0,0.1,38.3,436.4,2.3,0.3,0.0,0.0,0,0.0,0.0
89,Wan'Dale Robinson,NYG,WR,2.7,13.6,0.1,40.4,469.8,2.0,0.5,0.0,0.0,0,0.0,0.0
90,Jalin Hyatt,NYG,WR,1.1,8.3,0.0,30.1,425.0,2.0,0.4,0.0,0.0,0,0.0,0.0
91,Josh Reynolds,DET,WR,0.2,0.4,0.0,30.6,414.0,2.3,0.2,0.0,0.0,0,0.0,0.0
92,Nick Westbrook-Ikhine,TEN,WR,0.0,0.4,0.0,28.8,395.0,2.4,0.2,0.0,0.0,0,0.0,0.0
93,Tank Dell,HOU,WR,1.0,6.6,0.0,30.9,423.5,1.8,0.6,0.0,0.0,0,0.0,0.0
94,Michael Wilson,ARI,WR,0.6,6.4,0.0,34.2,422.0,1.5,0.2,0.0,0.0,0,0.0,0.0
95,Isaiah McKenzie,IND,WR,7.9,48.4,0.2,33.4,350.8,1.8,0.1,0.0,0.0,0,0.0,0.0
96,Greg Dortch,ARI,WR,5.9,43.2,0.1,36.7,361.2,1.4,0.5,0.0,0.0,0,0.0,0.0
97,Terrace Marshall Jr.,CAR,WR,0.0,0.1,0.0,25.1,393.9,1.5,0.1,0.0,0.0,0,0.0,0.0
98,Tutu Atwell,LAR,WR,7.2,35.2,0.4,23.3,347.4,1.3,0.2,0.0,0.0,0,0.0,0.0
99,Josh Downs,IND,WR,0.8,6.9,0.0,26.0,374.7,1.7,0.2,0.0,0.0,0,0.0,0.0
100,Sterling Shepard,NYG,WR,2.5,15.4,0.1,30.5,349.8,1.7,0.1,0.0,0.0,0,0.0,0.0
101,Ben Skowronek,LAR,WR,0.4,4.9,0.3,34.5,358.9,1.4,0.1,0.0,0.0,0,0.0,0.0
102,Khalil Shakir,BUF,WR,1.1,6.3,0.1,24.1,361.9,1.6,0.2,0.0,0.0,0,0.0,0.0
103,Tyquan Thornton,NE,WR,2.6,10.3,0.8,22.1,303.5,1.7,0.0,0.0,0.0,0,0.0,0.0
104,Randall Cobb,NYJ,WR,0.2,0.6,0.0,30.7,344.1,2.0,0.2,0.0,0.0,0,0.0,0.0
105,Trey Palmer,TB,WR,0.4,5.3,0.1,30.2,353.7,1.5,0.1,0.0,0.0,0,0.0,0.0
106,Braxton Berrios,MIA,WR,1.6,18.7,0.3,27.1,306.0,1.5,0.3,0.0,0.0,0,0.0,0.0
107,Laviska Shenault Jr.,CAR,WR,16.5,84.0,0.7,21.8,255.9,0.8,0.2,0.0,0.0,0,0.0,0.0
108,Marquez Callaway,LV,WR,0.0,0.5,0.0,34.8,293.0,1.7,0.0,0.0,0.0,0,0.0,0.0
109,Deonte Harty,BUF,WR,2.7,18.1,0.1,24.1,292.9,1.3,0.4,0.0,0.0,0,0.0,0.0
110,Cedrick Wilson Jr.,MIA,WR,0.3,0.8,0.0,26.7,286.8,1.5,0.1,0.0,0.0,0,0.0,0.0
111,Richie James Jr.,KC,WR,0.5,1.4,0.0,20.8,290.2,1.8,1.2,0.0,0.0,0,0.0,0.0
112,Quez Watkins,PHI,WR,0.5,0.9,0.0,19.5,290.4,1.4,0.2,0.0,0.0,0,0.0,0.0
113,Kalif Raymond,DET,WR,2.4,23.8,0.2,20.7,256.1,1.3,0.2,0.0,0.0,0,0.0,0.0
114,Cedric Tillman,CLE,WR,0.6,3.9,0.0,17.4,297.7,1.1,0.2,0.0,0.0,0,0.0,0.0
115,Puka Nacua,LAR,WR,0.6,4.2,0.0,20.0,297.2,1.0,0.2,0.0,0.0,0,0.0,0.0
116,Demario Douglas,NE,WR,0.4,2.5,0.0,32.7,298.8,1.0,0.1,0.0,0.0,0,0.0,0.0
117,Jauan Jennings,SF,WR,0.0,0.2,0.0,21.7,270.1,1.3,0.1,0.0,0.0,0,0.0,0.0
118,Dyami Brown,WAS,WR,2.1,15.0,0.0,13.3,230.1,1.7,0.0,0.0,0.0,0,0.0,0.0
119,Noah Brown,HOU,WR,0.1,0.4,0.0,23.4,277.5,1.1,0.2,0.0,0.0,0,0.0,0.0
120,Kayshon Boutte,NE,WR,0.8,5.8,0.0,18.2,274.2,0.9,0.1,0.0,0.0,0,0.0,0.0
121,Olamide Zaccheaus,PHI,WR,0.6,2.2,0.0,20.1,261.4,1.3,0.3,0.0,0.0,0,0.0,0.0
122,Jamal Agnew,JAC,WR,6.1,54.1,0.3,20.6,191.4,1.1,0.2,0.0,0.0,0,0.0,0.0
123,Trent Sherfield,BUF,WR,0.0,0.6,0.0,17.3,243.8,1.2,0.1,0.0,0.0,0,0.0,0.0
124,Marquise Goodwin,CLE,WR,1.5,8.0,0.0,15.1,211.3,1.3,0.0,0.0,0.0,0,0.0,0.0
125,Xavier Hutchinson,HOU,WR,1.1,6.8,0.1,0.0,274.4,0.1,0.2,0.0,0.0,0,0.0,0.0
126,Deven Thompkins,TB,WR,0.3,9.7,0.1,19.9,215.1,0.9,0.1,0.0,0.0,0,0.0,0.0
127,Zach Pascal,ARI,WR,0.1,1.2,0.0,20.9,218.4,1.1,0.1,0.0,0.0,0,0.0,0.0
128,Demarcus Robinson,LAR,WR,0.0,0.2,0.0,19.9,214.4,0.9,0.1,0.0,0.0,0,0.0,0.0
129,Kyle Philips,TEN,WR,1.0,4.9,0.0,15.1,222.2,0.7,0.2,0.0,0.0,0,0.0,0.0
130,Chris Moore,TEN,WR,0.3,2.5,0.0,17.5,212.4,0.9,0.0,0.0,0.0,0,0.0,0.0
131,Charlie Jones,CIN,WR,0.7,5.5,0.0,15.8,203.1,1.0,0.5,0.0,0.0,0,0.0,0.0
132,Calvin Austin III,PIT,WR,0.4,3.7,0.0,14.8,206.1,0.8,0.1,0.0,0.0,0,0.0,0.0
133,Trenton Irwin,CIN,WR,0.1,1.3,0.0,16.7,185.8,1.1,0.1,0.0,0.0,0,0.0,0.0
134,KhaDarel Hodge,ATL,WR,0.0,3.0,0.0,15.6,182.6,1.0,0.1,0.0,0.0,0,0.0,0.0
135,Dontayvion Wicks,GB,WR,0.3,4.4,0.0,17.0,184.5,0.8,0.1,0.0,0.0,0,0.0,0.0
136,Samori Toure,GB,WR,0.6,4.1,0.0,14.0,182.3,0.8,0.1,0.0,0.0,0,0.0,0.0
137,Justyn Ross,KC,WR,0.5,3.1,0.0,9.7,183.3,0.8,0.1,0.0,0.0,0,0.0,0.0
138,Cade Johnson,SEA,WR,0.0,1.7,0.0,14.6,168.0,1.1,0.0,0.0,0.0,0,0.0,0.0
139,Rakim Jarrett,TB,WR,0.2,4.7,0.0,19.0,168.4,0.9,0.0,0.0,0.0,0,0.0,0.0
140,Justin Watson,KC,WR,0.0,0.2,0.0,11.2,172.2,0.9,0.0,0.0,0.0,0,0.0,0.0
141,Devin Duvernay,BAL,WR,4.6,42.3,0.2,7.0,138.2,0.4,0.1,0.0,0.0,0,0.0,0.0
142,Jalen Tolbert,DAL,WR,0.6,3.4,0.0,8.5,152.5,0.6,0.1,0.0,0.0,0,0.0,0.0
143,Britain Covey,PHI,WR,0.0,6.7,0.1,8.4,130.4,0.8,0.0,0.0,0.0,0,0.0,0.0
144,David Bell,CLE,WR,0.0,0.2,0.0,9.0,165.3,0.4,0.0,0.0,0.0,0,0.0,0.0
145,DeAndre Carter,LV,WR,0.5,7.3,0.0,11.3,143.2,0.6,0.2,0.0,0.0,0,0.0,0.0
146,Amari Rodgers,IND,WR,0.4,6.6,0.0,16.8,135.5,0.7,0.1,0.0,0.0,0,0.0,0.0
147,Tre Nixon,NE,WR,0.0,6.3,0.0,8.6,126.9,0.8,0.0,0.0,0.0,0,0.0,0.0
148,Brandon Johnson,DEN,WR,0.2,1.9,0.0,12.0,133.0,0.8,0.1,0.0,0.0,0,0.0,0.0
149,Velus Jones Jr.,CHI,WR,1.9,36.4,0.2,6.1,104.7,0.4,0.1,0.0,0.0,0,0.0,0.0
150,Equanimeous St. Brown,CHI,WR,1.2,12.7,0.0,8.3,123.0,0.6,0.0,0.0,0.0,0,0.0,0.0
151,Brandon Powell,MIN,WR,2.9,32.1,0.1,11.5,105.1,0.5,0.2,0.0,0.0,0,0.0,0.0
152,Parker Washington,JAC,WR,0.3,2.0,0.0,10.5,136.1,0.4,0.1,0.0,0.0,0,0.0,0.0
153,Tre'Quan Smith,NO,WR,0.0,0.2,0.0,9.5,124.1,0.7,0.0,0.0,0.0,0,0.0,0.0
154,Tre Tucker,LV,WR,0.3,5.2,0.0,10.7,122.6,0.5,0.0,0.0,0.0,0,0.0,0.0
155,Derius Davis,LAC,WR,0.4,6.0,0.0,12.9,123.6,0.5,0.1,0.0,0.0,0,0.0,0.0
156,A.T. Perry,NO,WR,0.6,2.7,0.0,5.0,135.8,0.3,0.1,0.0,0.0,0,0.0,0.0
157,Byron Pringle,WAS,WR,2.5,14.6,0.1,12.0,113.4,0.4,0.1,0.0,0.0,0,0.0,0.0
158,Dee Eskridge,SEA,WR,3.2,24.3,0.1,10.5,100.0,0.4,0.1,0.0,0.0,0,0.0,0.0
159,Jason Brownlee,NYJ,WR,0.2,2.6,0.0,10.7,114.6,0.6,0.1,0.0,0.0,0,0.0,0.0
160,River Cracraft,MIA,WR,0.2,1.1,0.0,10.4,114.8,0.6,0.1,0.0,0.0,0,0.0,0.0
161,Jalen Nailor,MIN,WR,0.3,1.6,0.0,9.1,110.5,0.7,0.1,0.0,0.0,0,0.0,0.0
162,Nelson Agholor,BAL,WR,0.2,0.9,0.0,5.4,130.7,0.3,0.2,0.0,0.0,0,0.0,0.0
163,Malik Heath,GB,WR,0.1,3.4,0.0,11.6,109.8,0.6,0.0,0.0,0.0,0,0.0,0.0
164,Ronnie Bell,SF,WR,0.1,3.2,0.0,11.2,103.4,0.6,0.0,0.0,0.0,0,0.0,0.0
165,Tyler Scott,CHI,WR,1.0,3.5,0.1,0.5,134.5,0.0,0.1,0.0,0.0,0,0.0,0.0
166,Erik Ezukanma,MIA,WR,0.2,1.3,0.0,9.1,100.0,0.5,0.1,0.0,0.0,0,0.0,0.0
167,Scott Miller,ATL,WR,0.3,3.5,0.0,7.8,104.2,0.3,0.0,0.0,0.0,0,0.0,0.0
168,Ray-Ray McCloud III,SF,WR,3.3,29.2,0.2,5.8,66.6,0.3,0.1,0.0,0.0,0,0.0,0.0
169,Andrei Iosivas,CIN,WR,0.5,3.0,0.0,0.0,117.3,0.0,0.1,0.0,0.0,0,0.0,0.0
170,Phillip Dorsett II,DEN,WR,0.1,0.8,0.0,8.7,87.4,0.5,0.0,0.0,0.0,0,0.0,0.0
171,Keith Kirkwood,NO,WR,0.2,1.0,0.0,9.3,89.6,0.4,0.0,0.0,0.0,0,0.0,0.0
172,Steven Sims Jr.,HOU,WR,0.7,30.6,0.2,4.7,59.6,0.2,0.1,0.0,0.0,0,0.0,0.0
173,Dareke Young,SEA,WR,0.2,1.0,0.0,7.5,84.5,0.4,0.1,0.0,0.0,0,0.0,0.0
174,KaVontae Turpin,DAL,WR,1.8,10.3,0.1,6.5,69.5,0.4,0.0,0.0,0.0,0,0.0,0.0
175,Justin Shorter,BUF,WR,0.4,2.7,0.0,0.0,105.5,0.0,0.1,0.0,0.0,0,0.0,0.0
176,Gunner Olszewski,PIT,WR,3.3,26.4,0.1,4.8,60.2,0.2,0.1,0.0,0.0,0,0.0,0.0
177,Ihmir Smith-Marsette,CAR,WR,0.2,1.3,0.0,6.4,82.5,0.2,0.1,0.0,0.0,0,0.0,0.0
178,Jalen Reagor,NE,WR,1.8,13.1,0.1,3.8,67.1,0.2,0.1,0.0,0.0,0,0.0,0.0
179,Jalen Guyton,LAC,WR,0.7,2.8,0.0,0.0,86.4,0.0,0.0,0.0,0.0,0,0.0,0.0
180,Maurice Alexander,DET,WR,0.0,0.0,0.0,4.9,65.2,0.4,0.0,0.0,0.0,0,0.0,0.0
181,Dax Milne,WAS,WR,2.8,11.5,0.1,5.8,64.6,0.2,0.3,0.0,0.0,0,0.0,0.0
182,Ashton Dulin,IND,WR,0.3,4.8,0.0,4.5,66.9,0.3,0.0,0.0,0.0,0,0.0,0.0
183,Cody Thompson,SEA,WR,0.0,1.2,0.0,5.5,62.5,0.3,0.0,0.0,0.0,0,0.0,0.0
184,Antoine Green,DET,WR,0.1,1.6,0.0,6.0,60.7,0.3,0.0,0.0,0.0,0,0.0,0.0
185,Matthew Slater,NE,WR,0.0,1.5,0.0,2.8,59.7,0.2,0.0,0.0,0.0,0,0.0,0.0
186,Kirk Merritt,NO,WR,0.0,6.3,0.0,1.9,51.2,0.2,0.0,0.0,0.0,0,0.0,0.0
187,Easop Winston Jr.,SEA,WR,0.0,3.9,0.0,3.3,48.8,0.3,0.0,0.0,0.0,0,0.0,0.0
188,Tim Jones,JAC,WR,0.2,1.1,0.0,3.9,55.1,0.2,0.1,0.0,0.0,0,0.0,0.0
189,Josh Ali,ATL,WR,0.1,2.6,0.0,4.9,50.2,0.2,0.0,0.0,0.0,0,0.0,0.0
190,Cole Beasley,NYG,WR,0.0,0.1,0.0,5.7,49.9,0.2,0.0,0.0,0.0,0,0.0,0.0
191,Miles Boykin,PIT,WR,0.0,0.2,0.0,3.2,50.1,0.1,0.0,0.0,0.0,0,0.0,0.0
192,Montrell Washington,KC,WR,0.2,9.6,0.0,2.5,43.8,0.1,0.0,0.0,0.0,0,0.0,0.0
193,Danny Gray,SF,WR,0.4,1.7,0.0,1.5,50.4,0.1,0.1,0.0,0.0,0,0.0,0.0
194,Lance McCutcheon,HOU,WR,0.0,0.7,0.0,2.2,42.7,0.2,0.0,0.0,0.0,0,0.0,0.0
195,Michael Woods II,CLE,WR,0.0,0.0,0.0,3.1,38.4,0.2,0.0,0.0,0.0,0,0.0,0.0
196,Alex Bachman,HOU,WR,0.0,0.0,0.0,3.3,38.2,0.2,0.0,0.0,0.0,0,0.0,0.0
197,Jake Bobo,SEA,WR,0.2,1.2,0.0,0.0,46.6,0.0,0.0,0.0,0.0,0,0.0,0.0
198,Lawrence Cager,NYG,WR,0.3,2.0,0.0,0.0,45.1,0.0,0.0,0.0,0.0,0,0.0,0.0
199,Andy Isabella,BUF,WR,0.1,6.8,0.1,1.3,32.7,0.1,0.0,0.0,0.0,0,0.0,0.0
200,Colton Dowell,TEN,WR,0.1,1.5,0.0,3.2,36.5,0.1,0.0,0.0,0.0,0,0.0,0.0
201,Seth Williams,JAC,WR,0.0,1.4,0.0,2.2,27.8,0.2,0.0,0.0,0.0,0,0.0,0.0
202,Greg Ward,PHI,WR,0.0,0.2,0.0,2.5,30.2,0.2,0.0,0.0,0.0,0,0.0,0.0
203,Stanley Morgan Jr.,CIN,WR,0.0,1.9,0.0,1.6,31.9,0.1,0.0,0.0,0.0,0,0.0,0.0
204,Chris Conley,SF,WR,0.0,0.1,0.0,0.0,37.2,0.0,0.0,0.0,0.0,0,0.0,0.0
205,Mitchell Tinsley,WAS,WR,0.1,0.9,0.0,0.0,34.9,0.0,0.0,0.0,0.0,0,0.0,0.0
206,Daniel Arias,ARI,WR,0.1,0.9,0.0,0.0,34.9,0.0,0.0,0.0,0.0,0,0.0,0.0
207,Xavier Gipson,NYJ,WR,0.1,0.9,0.0,0.0,34.9,0.0,0.0,0.0,0.0,0,0.0,0.0
208,Tanner Conner,MIA,WR,0.1,0.9,0.0,0.0,34.9,0.0,0.0,0.0,0.0,0,0.0,0.0
209,Irvin Charles,NYJ,WR,0.1,0.9,0.0,0.0,34.9,0.0,0.0,0.0,0.0,0,0.0,0.0
210,Kearis Jackson,TEN,WR,0.1,0.9,0.0,0.0,34.9,0.0,0.0,0.0,0.0,0,0.0,0.0
211,Elijah Cooks,JAC,WR,0.1,0.9,0.0,0.0,34.9,0.0,0.0,0.0,0.0,0,0.0,0.0
212,Tylan Wallace,BAL,WR,0.2,0.8,0.0,1.5,31.6,0.1,0.1,0.0,0.0,0,0.0,0.0
213,Mike Strachan,IND,WR,0.2,1.5,0.0,0.0,33.7,0.0,0.0,0.0,0.0,0,0.0,0.0
214,Kristian Wilkerson,LV,WR,0.2,1.5,0.0,0.0,33.7,0.0,0.0,0.0,0.0,0,0.0,0.0
215,Andre Baccellia,ARI,WR,0.2,1.5,0.0,0.0,33.7,0.0,0.0,0.0,0.0,0,0.0,0.0
216,D.J. Montgomery,IND,WR,0.2,1.5,0.0,0.0,33.7,0.0,0.0,0.0,0.0,0,0.0,0.0
217,David Sills V,DEN,WR,0.2,1.5,0.0,0.0,33.7,0.0,0.0,0.0,0.0,0,0.0,0.0
218,David Moore,TB,WR,0.4,3.0,0.0,0.0,31.2,0.0,0.0,0.0,0.0,0,0.0,0.0
219,Trent Taylor,CHI,WR,0.3,4.1,0.0,1.3,25.4,0.1,0.0,0.0,0.0,0,0.0,0.0
220,Penny Hart,ATL,WR,0.4,7.1,0.0,0.0,26.3,0.0,0.0,0.0,0.0,0,0.0,0.0
221,Joseph Ngata,PHI,WR,0.0,1.4,0.0,1.9,23.7,0.1,0.0,0.0,0.0,0,0.0,0.0
222,Bo Melton,GB,WR,0.0,1.3,0.0,3.7,22.3,0.1,0.0,0.0,0.0,0,0.0,0.0
223,Jalen Brooks,DAL,WR,0.2,0.8,0.0,0.9,27.9,0.0,0.0,0.0,0.0,0,0.0,0.0
224,Jaelon Darden,CLE,WR,0.0,2.6,0.0,0.6,19.6,0.1,0.0,0.0,0.0,0,0.0,0.0
225,Racey McMath,IND,WR,0.2,1.3,0.0,0.7,21.5,0.0,0.0,0.0,0.0,0,0.0,0.0
226,Lil'Jordan Humphrey,DEN,WR,0.0,0.0,0.0,0.3,22.1,0.0,0.0,0.0,0.0,0,0.0,0.0
227,Laquon Treadwell,BAL,WR,0.0,0.1,0.0,0.3,21.8,0.0,0.0,0.0,0.0,0,0.0,0.0
228,Alex Erickson,LAC,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
229,0,0,WR,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
230,0,0,WR,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0
1,Patrick Mahomes II,KC,QB,65.0,357.6,3.2,0.0,0,0.0,1.9,611.2,406.5,"4,839.0",37.7,11.2
2,Josh Allen,BUF,QB,116.7,660.1,6.2,0.0,0,0.0,4.2,577.6,364.7,"4,293.3",32.2,14.0
3,Jalen Hurts,PHI,QB,157.8,801.9,11.2,0.0,0,0.0,2.9,495.3,318.9,"3,820.6",23.5,10.1
4,Lamar Jackson,BAL,QB,148.5,939.2,5.5,0.0,0,0.0,3.0,481.8,305.9,"3,489.1",25.5,11.6
5,Joe Burrow,CIN,QB,65.0,273.1,3.9,0.0,0,0.0,2.3,598.1,406.7,"4,632.1",33.1,13.1
6,Justin Fields,CHI,QB,154.6,"1,043.6",6.9,0.0,0,0.0,3.3,419.0,259.5,"2,993.5",21.1,12.7
7,Justin Herbert,LAC,QB,57.1,220.1,2.0,0.0,0,0.0,2.0,627.1,422.2,"4,598.2",30.1,12.6
8,Deshaun Watson,CLE,QB,98.6,493.2,4.1,0.0,0,0.0,1.8,504.7,324.6,"3,853.6",24.6,11.0
9,Dak Prescott,DAL,QB,58.9,249.6,2.4,0.0,0,0.0,3.1,553.4,365.3,"4,134.2",29.3,13.6
10,Kirk Cousins,MIN,QB,31.6,92.0,1.5,0.0,0,0.0,2.8,593.8,395.8,"4,452.2",30.6,12.3
11,Trevor Lawrence,JAC,QB,62.3,285.2,3.9,0.0,0,0.0,5.2,578.6,378.6,"4,088.7",26.9,12.1
12,Daniel Jones,NYG,QB,109.7,638.6,4.9,0.0,0,0.0,4.1,519.6,338.2,"3,512.6",21.1,10.0
13,Geno Smith,SEA,QB,61.8,322.7,2.0,0.0,0,0.0,3.5,545.1,371.2,"4,055.4",27.1,11.3
14,Aaron Rodgers,NYJ,QB,36.5,125.2,1.6,0.0,0,0.0,2.6,559.2,362.1,"4,062.0",28.1,8.6
15,Russell Wilson,DEN,QB,63.8,320.6,2.7,0.0,0,0.0,2.1,513.2,323.6,"3,806.6",24.2,10.9
16,Tua Tagovailoa,MIA,QB,43.1,133.3,1.7,0.0,0,0.0,1.8,536.3,351.8,"4,128.1",27.4,12.3
17,Jared Goff,DET,QB,32.0,83.3,1.1,0.0,0,0.0,3.6,571.7,376.0,"4,254.5",28.1,11.0
18,Anthony Richardson,IND,QB,142.2,630.7,4.4,0.0,0,0.0,2.3,488.5,302.3,"3,214.2",18.3,13.1
19,Derek Carr,NO,QB,34.6,116.7,1.0,0.0,0,0.0,2.6,512.8,337.8,"3,972.7",24.1,11.7
20,Kenny Pickett,PIT,QB,67.1,436.6,3.6,0.0,0,0.0,1.5,499.1,316.3,"3,312.3",17.6,12.2
21,Jordan Love,GB,QB,44.0,170.3,1.5,0.0,0,0.0,2.6,545.2,345.7,"3,831.0",23.3,14.5
22,Brock Purdy,SF,QB,38.0,124.9,2.1,0.0,0,0.0,1.4,441.6,288.5,"3,479.4",24.5,10.2
23,Matthew Stafford,LAR,QB,30.4,71.2,0.8,0.0,0,0.0,2.8,524.8,348.1,"3,968.1",24.0,13.0
24,Bryce Young,CAR,QB,51.4,203.6,1.6,0.0,0,0.0,2.3,521.3,326.5,"3,620.5",20.2,12.9
25,Jimmy Garoppolo,LV,QB,30.6,67.0,1.6,0.0,0,0.0,2.3,493.7,327.1,"3,639.4",22.5,12.2
26,Mac Jones,NE,QB,52.5,153.8,1.2,0.0,0,0.0,2.2,517.4,342.0,"3,650.0",20.9,13.5
27,C.J. Stroud,HOU,QB,51.0,183.9,1.5,0.0,0,0.0,2.5,522.5,328.3,"3,483.2",20.0,14.2
28,Sam Howell,WAS,QB,56.5,235.9,1.9,0.0,0,0.0,2.4,519.0,324.2,"3,321.6",18.7,12.9
29,Ryan Tannehill,TEN,QB,41.9,166.3,2.4,0.0,0,0.0,2.4,450.6,293.3,"3,264.2",19.2,11.0
30,Kyler Murray,ARI,QB,74.9,411.2,2.7,0.0,0,0.0,2.3,406.5,267.0,"2,742.3",13.3,9.5
31,Baker Mayfield,TB,QB,36.6,129.6,1.3,0.0,0,0.0,2.4,489.1,301.6,"3,188.1",17.5,11.8
32,Desmond Ridder,ATL,QB,39.8,172.5,1.5,0.0,0,0.0,3.1,448.7,277.5,"3,004.6",17.5,10.5
33,Joshua Dobbs,ARI,QB,20.1,120.0,0.8,0.0,0,0.0,1.5,162.9,99.7,"1,380.3",6.4,7.3
34,Kyle Trask,TB,QB,16.6,47.2,0.2,0.0,0,0.0,1.1,178.1,107.4,"1,131.4",4.9,5.8
35,Jacoby Brissett,WAS,QB,19.4,77.7,0.6,0.0,0,0.0,1.3,146.6,82.8,985.6,4.1,3.3
36,Will Levis,TEN,QB,16.5,55.7,0.3,0.0,0,0.0,0.8,116.6,71.5,873.3,3.4,4.1
37,Brian Hoyer,LV,QB,10.6,32.9,0.2,0.0,0,0.0,0.8,100.0,60.7,751.8,4.0,4.2
38,Taylor Heinicke,ATL,QB,18.1,51.0,0.2,0.0,0,0.0,1.2,99.0,60.6,704.6,3.8,3.9
39,Sam Darnold,SF,QB,17.3,49.7,0.4,0.0,0,0.0,1.4,126.0,74.7,703.6,2.9,4.2
40,Gardner Minshew II,IND,QB,12.2,41.9,0.2,0.0,0,0.0,1.2,75.5,47.4,672.1,2.7,2.3
41,Bailey Zappe,NE,QB,15.9,23.2,0.1,0.0,0,0.0,1.0,120.6,71.4,655.1,2.5,4.7
42,Mike White,MIA,QB,12.8,20.6,0.1,0.0,0,0.0,0.6,91.8,55.0,593.9,2.6,3.7
43,Stetson Bennett,LAR,QB,8.8,23.2,0.2,0.0,0,0.0,0.6,69.0,42.7,512.0,1.7,2.6
