,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YD,PASS_TD,INTS
49,Devin Singletary,HOU,RB,125.3,521.0,2.7,22.7,162.7,0.4,1.2,0.0,0.0,0,0.0,0.0
50,Jerick McKinnon,KC,RB,60.6,235.7,1.7,37.7,322.2,2.9,0.2,0.0,0.0,0,0.0,0.0
51,De'Von Achane,MIA,RB,109.8,446.4,3.0,20.0,169.0,0.8,0.9,0.0,0.0,0,0.0,0.0
52,Gus Edwards,BAL,RB,117.9,580.1,3.2,6.5,59.6,0.1,1.0,0.0,0.0,0,0.0,0.0
53,Tank Bigsby,JAC,RB,111.5,444.0,2.8,17.9,145.0,0.7,0.9,0.0,0.0,0,0.0,0.0
54,Jeff Wilson Jr.,MIA,RB,107.3,442.2,2.9,14.1,114.1,0.8,0.9,0.0,0.0,0,0.0,0.0
55,Zack Moss,IND,RB,82.4,484.4,2.5,14.8,101.8,0.5,0.8,0.0,0.0,0,0.0,0.0
56,Tyjae Spears,TEN,RB,100.5,396.0,2.0,17.3,144.0,0.7,0.9,0.0,0.0,0,0.0,0.0
57,Kendre Miller,NO,RB,86.0,366.2,2.1,17.5,149.0,0.7,0.9,0.0,0.0,0,0.0,0.0
58,Kyren Williams,LAR,RB,97.3,393.2,1.8,17.3,140.4,0.4,0.6,0.0,0.0,0,0.0,0.0
59,Joshua Kelley,LAC,RB,98.6,396.2,2.3,15.0,122.4,0.3,1.2,0.0,0.0,0,0.0,0.0
60,Cordarrelle Patterson,ATL,RB,70.1,300.8,2.3,20.0,161.1,0.8,0.2,0.0,0.0,0,0.0,0.0
61,Clyde Edwards-Helaire,KC,RB,74.5,322.4,2.2,14.8,125.6,1.0,0.3,0.0,0.0,0,0.0,0.0
62,Chase Edmonds,TB,RB,73.9,329.7,1.6,20.2,159.1,0.8,0.4,0.0,0.0,0,0.0,0.0
63,Jerome Ford,CLE,RB,101.5,380.4,1.9,10.7,103.2,0.5,0.8,0.0,0.0,0,0.0,0.0
64,Ty Chandler,MIN,RB,97.1,346.3,2.1,13.7,116.0,0.6,0.8,0.0,0.0,0,0.0,0.0
65,Deon Jackson,IND,RB,78.1,287.8,1.6,25.8,177.6,1.0,0.8,0.0,0.0,0,0.0,0.0
66,Keaontay Ingram,ARI,RB,84.7,346.8,1.9,15.5,107.7,0.3,0.5,0.0,0.0,0,0.0,0.0
67,Roschon Johnson,CHI,RB,94.9,345.4,1.8,8.9,95.9,0.5,0.7,0.0,0.0,0,0.0,0.0
68,Deuce Vaughn,DAL,RB,73.3,306.1,1.8,14.2,113.4,0.6,0.8,0.0,0.0,0,0.0,0.0
69,Chase Brown,CIN,RB,56.8,238.7,1.4,14.8,124.7,0.5,0.8,0.0,0.0,0,0.0,0.0
70,Latavius Murray,BUF,RB,58.9,281.5,1.6,10.3,71.0,0.2,0.0,0.0,0.0,0,0.0,0.0
71,Evan Hull,IND,RB,69.9,274.5,1.3,8.7,82.8,0.3,0.3,0.0,0.0,0,0.0,0.0
72,Matt Breida,NYG,RB,56.5,249.4,1.2,12.2,95.2,0.2,0.8,0.0,0.0,0,0.0,0.0
73,Isaiah Spiller,LAC,RB,64.5,251.4,1.1,7.9,65.4,0.2,0.3,0.0,0.0,0,0.0,0.0
74,Zach Evans,LAR,RB,53.7,208.3,1.2,8.9,81.2,0.4,0.5,0.0,0.0,0,0.0,0.0
75,Sean Tucker,TB,RB,56.0,220.4,0.8,11.7,89.8,0.3,0.3,0.0,0.0,0,0.0,0.0
76,Zamir White,LV,RB,59.2,228.0,1.7,6.5,31.0,0.2,0.2,0.0,0.0,0,0.0,0.0
77,Rico Dowdle,DAL,RB,57.3,214.3,1.3,6.8,53.0,0.2,0.2,0.0,0.0,0,0.0,0.0
78,Trayveon Williams,CIN,RB,58.4,226.9,0.9,10.3,73.2,0.3,0.9,0.0,0.0,0,0.0,0.0
79,JaMycal Hasty,JAC,RB,37.5,180.8,1.0,13.2,93.8,0.4,0.2,0.0,0.0,0,0.0,0.0
80,Pierre Strong Jr.,CLE,RB,41.1,200.4,1.1,8.5,74.6,0.2,0.2,0.0,0.0,0,0.0,0.0
81,Myles Gaskin,MIN,RB,46.3,185.5,0.9,13.7,89.8,0.4,0.4,0.0,0.0,0,0.0,0.0
82,Ronald Jones II,DAL,RB,59.3,235.9,1.2,2.7,36.0,0.1,0.4,0.0,0.0,0,0.0,0.0
83,Michael Carter,NYJ,RB,42.4,161.8,0.7,12.6,114.1,0.4,0.2,0.0,0.0,0,0.0,0.0
84,Craig Reynolds,DET,RB,35.9,154.3,1.0,14.1,97.1,0.4,0.1,0.0,0.0,0,0.0,0.0
85,Jaleel McLaughlin,DEN,RB,42.2,180.5,1.3,10.4,59.0,0.3,0.2,0.0,0.0,0,0.0,0.0
86,Ke'Shawn Vaughn,TB,RB,53.1,209.7,1.3,6.9,43.8,0.2,0.6,0.0,0.0,0,0.0,0.0
87,Jordan Mason,SF,RB,54.3,238.6,0.9,2.8,31.4,0.1,0.2,0.0,0.0,0,0.0,0.0
88,Raheem Blackshear,CAR,RB,34.4,128.2,1.3,12.9,91.2,0.3,0.4,0.0,0.0,0,0.0,0.0
89,Chris Rodriguez Jr.,WAS,RB,40.1,167.6,0.9,10.0,65.6,0.2,0.2,0.0,0.0,0,0.0,0.0
90,Eric Gray,NYG,RB,51.2,172.5,1.0,6.2,57.1,0.3,0.6,0.0,0.0,0,0.0,0.0
91,Ameer Abdullah,LV,RB,27.8,95.6,0.4,18.8,137.6,0.6,0.1,0.0,0.0,0,0.0,0.0
92,Chris Evans,CIN,RB,34.2,128.8,0.5,10.7,88.3,0.5,0.2,0.0,0.0,0,0.0,0.0
93,Melvin Gordon III,BAL,RB,33.3,153.0,0.6,11.2,78.9,0.3,0.8,0.0,0.0,0,0.0,0.0
94,Zonovan Knight,DET,RB,53.6,173.5,0.5,9.3,60.9,0.2,0.2,0.0,0.0,0,0.0,0.0
95,DeeJay Dallas,SEA,RB,20.3,123.5,0.6,11.2,90.2,0.3,0.1,0.0,0.0,0,0.0,0.0
96,Owen Wright,BAL,RB,0.0,145.0,1.1,6.5,41.2,0.2,0.2,0.0,0.0,0,0.0,0.0
97,Anthony McFarland Jr.,PIT,RB,21.9,130.3,0.7,10.2,60.8,0.3,0.1,0.0,0.0,0,0.0,0.0
98,Salvon Ahmed,MIA,RB,35.3,135.3,0.7,6.7,56.8,0.2,0.0,0.0,0.0,0,0.0,0.0
99,Malik Davis,DAL,RB,51.1,181.0,0.0,0.0,62.8,0.0,0.3,0.0,0.0,0,0.0,0.0
100,Boston Scott,PHI,RB,30.5,138.7,1.1,3.6,32.2,0.1,0.2,0.0,0.0,0,0.0,0.0
101,Tyrion Davis-Price,SF,RB,30.6,149.5,0.7,3.7,38.6,0.1,0.2,0.0,0.0,0,0.0,0.0
102,Mike Boone,HOU,RB,21.7,117.2,0.5,14.0,61.0,0.2,0.0,0.0,0.0,0,0.0,0.0
103,Dare Ogunbowale,HOU,RB,26.7,99.5,0.7,10.0,60.4,0.2,0.1,0.0,0.0,0,0.0,0.0
104,Corey Clement,ARI,RB,19.6,110.7,0.6,11.4,54.9,0.2,0.0,0.0,0.0,0,0.0,0.0
105,Justice Hill,BAL,RB,28.5,126.3,0.4,8.8,51.2,0.2,0.2,0.0,0.0,0,0.0,0.0
106,DeWayne McBride,MIN,RB,62.3,143.2,0.3,2.0,48.1,0.1,0.2,0.0,0.0,0,0.0,0.0
107,Kevin Harris,NE,RB,30.6,107.9,0.5,10.1,55.6,0.2,0.1,0.0,0.0,0,0.0,0.0
108,Emari Demercado,ARI,RB,36.9,113.3,0.7,7.2,40.9,0.2,0.1,0.0,0.0,0,0.0,0.0
109,Julius Chestnut,TEN,RB,26.3,100.2,0.6,8.0,56.9,0.2,0.1,0.0,0.0,0,0.0,0.0
110,Kyle Juszczyk,SF,RB,9.1,30.6,0.4,13.1,111.2,0.6,0.0,0.0,0.0,0,0.0,0.0
111,Tyler Badie,DEN,RB,15.2,95.9,0.5,14.7,58.4,0.2,0.1,0.0,0.0,0,0.0,0.0
112,Gary Brightwell,NYG,RB,24.0,113.6,0.8,5.0,30.5,0.1,0.1,0.0,0.0,0,0.0,0.0
113,Israel Abanikanda,NYJ,RB,50.1,131.0,0.4,1.5,39.2,0.0,0.1,0.0,0.0,0,0.0,0.0
114,Brandon Bolden,LV,RB,18.3,78.6,0.5,7.4,61.7,0.4,0.1,0.0,0.0,0,0.0,0.0
115,D'Ernest Johnson,JAC,RB,30.5,125.9,0.4,4.8,36.1,0.1,0.0,0.0,0.0,0,0.0,0.0
116,Travis Homer,CHI,RB,18.0,92.6,0.3,7.5,67.3,0.2,0.1,0.0,0.0,0,0.0,0.0
117,Emanuel Wilson,GB,RB,25.9,101.2,0.5,7.7,36.8,0.1,0.1,0.0,0.0,0,0.0,0.0
118,Kenny McIntosh,SEA,RB,34.4,100.9,0.5,3.0,33.2,0.0,0.1,0.0,0.0,0,0.0,0.0
119,Jason Huntley,IND,RB,0.0,78.9,0.5,4.7,42.5,0.2,0.1,0.0,0.0,0,0.0,0.0
120,Deneric Prince,KC,RB,35.1,113.6,0.0,0.0,42.1,0.0,0.2,0.0,0.0,0,0.0,0.0
121,Ty Montgomery II,NE,RB,12.5,37.5,0.2,8.7,74.2,0.3,0.0,0.0,0.0,0,0.0,0.0
122,Keaton Mitchell,BAL,RB,26.6,81.7,0.4,2.9,24.6,0.1,0.1,0.0,0.0,0,0.0,0.0
123,Ty Johnson,BUF,RB,10.0,49.6,0.2,8.3,54.4,0.3,0.1,0.0,0.0,0,0.0,0.0
124,Snoop Conner,JAC,RB,12.2,89.9,0.5,2.2,7.6,0.1,0.1,0.0,0.0,0,0.0,0.0
125,Kene Nwangwu,MIN,RB,27.4,75.9,0.2,3.8,32.2,0.1,0.1,0.0,0.0,0,0.0,0.0
126,Alec Ingold,MIA,RB,5.2,14.0,0.1,12.0,75.8,0.4,0.0,0.0,0.0,0,0.0,0.0
127,Elijah Dotson,LAC,RB,17.3,63.7,0.4,4.5,24.4,0.1,0.1,0.0,0.0,0,0.0,0.0
128,C.J. Ham,MIN,RB,5.5,15.7,0.3,9.6,62.1,0.2,0.0,0.0,0.0,0,0.0,0.0
129,Kirk Merritt,NO,RB,9.1,38.6,0.3,4.1,31.5,0.2,0.1,0.0,0.0,0,0.0,0.0
130,Hunter Luepke,DAL,RB,9.0,32.4,0.4,7.4,31.4,0.1,0.0,0.0,0.0,0,0.0,0.0
131,Royce Freeman,LAR,RB,0.0,57.7,0.3,4.2,14.4,0.1,0.1,0.0,0.0,0,0.0,0.0
132,Demetric Felton Jr.,CIN,RB,10.3,38.2,0.1,5.8,35.6,0.1,0.1,0.0,0.0,0,0.0,0.0
133,Andrew Beck,HOU,RB,0.0,0.0,0.0,7.8,64.3,0.4,0.0,0.0,0.0,0,0.0,0.0
134,Ronnie Rivers,LAR,RB,14.3,45.3,0.1,4.4,28.2,0.1,0.1,0.0,0.0,0,0.0,0.0
135,Jason Cabinda,DET,RB,9.1,22.4,0.2,4.4,33.3,0.3,0.0,0.0,0.0,0,0.0,0.0
136,Godwin Igwebuike,ATL,RB,0.0,7.8,0.1,6.6,47.3,0.2,0.0,0.0,0.0,0,0.0,0.0
137,Patrick Ricard,BAL,RB,5.5,15.9,0.1,7.3,41.1,0.3,0.4,0.0,0.0,0,0.0,0.0
138,Giovanni Ricci,CAR,RB,4.7,19.7,0.2,4.1,30.0,0.2,0.0,0.0,0.0,0,0.0,0.0
139,Patrick Taylor Jr.,GB,RB,0.0,38.2,0.3,2.1,6.1,0.1,0.0,0.0,0.0,0,0.0,0.0
140,Chris Brooks,MIA,RB,15.0,42.8,0.1,2.0,14.3,0.0,0.1,0.0,0.0,0,0.0,0.0
141,Reggie Gilliam,BUF,RB,2.2,9.3,0.1,9.0,32.8,0.3,0.0,0.0,0.0,0,0.0,0.0
142,Tony Jones Jr.,NO,RB,17.8,37.3,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0,0.0,0.0
143,Henry Pearson,GB,RB,0.0,13.1,0.1,3.7,16.4,0.2,0.0,0.0,0.0,0,0.0,0.0
