"Player","Team","REC","YDS","TDS","FL","FPTS"
"Geoff Swaim","ARI","13.2","101.2","0.8","0.0","14.6"
"Payne Durham","TB","11.1","108.4","0.6","0.3","14.4"
"Ross Dwelley","SF","5.9","95.9","0.7","0.0","13.9"
"Will Mallory","IND","8.7","96.0","0.7","0.0","13.8"
"Stephen Sullivan","CAR","8.7","100.8","0.6","0.1","13.6"
"Davis Allen","LAR","17.3","107.2","0.6","0.4","13.5"
"Eric Saubert","MIA","12.5","98.2","0.6","0.0","13.3"
"Tyler Kroft","MIA","9.3","82.9","0.8","0.0","13.3"
"Marcedes Lewis","CHI","6.6","72.5","1.0","0.1","12.9"
"Jeremy Ruckert","NYJ","6.9","94.0","0.6","0.0","12.7"
"Jack Stoll","PHI","9.4","99.9","0.4","0.0","12.7"
"Drew Sample","CIN","9.8","89.4","0.6","0.1","12.3"
"Cole Turner","WAS","4.8","98.4","0.4","0.1","11.9"
"Zack Kuntz","NYJ","0.0","102.8","0.3","0.1","11.9"
"Julian Hill","MIA","0.0","102.8","0.3","0.1","11.9"
"Mitchell Wilcox","CIN","8.3","97.8","0.3","0.0","11.7"
"Tanner Hudson","CIN","11.8","84.4","0.5","0.0","11.4"
"Quintin Morris","BUF","7.3","85.0","0.6","0.4","11.3"
"Stone Smartt","LAC","9.1","74.5","0.6","0.0","11.1"
"Johnny Mundt","MIN","7.7","78.6","0.5","0.0","11.0"
"Jody Fortson","KC","6.1","92.1","0.4","0.5","10.8"
"Chris Manhertz","DEN","6.7","77.5","0.5","0.0","10.7"
"Reggie Gilliam","BUF","8.3","64.8","0.6","0.0","10.6"
"Andrew Beck","HOU","8.9","77.0","0.2","0.0","10.4"
"Luke Farrell","JAC","6.5","78.5","0.4","0.0","10.4"
"Giovanni Ricci","CAR","6.4","88.7","0.2","0.0","10.3"
"Jesper Horsted","LV","5.9","67.1","0.5","0.0","9.7"
"Kenny Yeboah","NYJ","0.0","79.8","0.3","0.1","9.6"
"John FitzPatrick","ATL","6.6","53.3","0.6","0.0","9.1"
"Nate Adkins","DEN","0.0","68.2","0.3","0.0","8.6"
"Grant Calcaterra","PHI","3.2","69.3","0.3","0.1","8.6"
"Kaden Smith","WAS","6.3","57.8","0.5","0.0","8.5"
"MyCole Pruitt","ATL","3.2","55.1","0.5","0.0","8.4"
"David Wells","TB","3.3","56.4","0.4","0.1","8.0"
"Charlie Woerner","SF","5.4","59.2","0.4","0.1","8.0"
"Curtis Hodges","WAS","6.3","48.2","0.5","0.0","7.9"
"Cameron Latu","SF","4.2","62.8","0.3","0.1","7.8"
"Brayden Willis","SF","5.4","50.5","0.5","0.0","7.8"
"Armani Rogers","WAS","7.3","51.5","0.4","0.0","7.5"
"Matt Sokol","NE","4.5","46.9","0.4","0.0","7.1"
"Andrew Ogletree","IND","5.2","42.6","0.4","0.0","6.9"
"Tyler Davis","GB","4.3","42.7","0.4","0.0","6.7"
"Nick Vannett","LAC","2.3","42.0","0.4","0.0","6.5"
"Shane Zylstra","DET","3.9","43.6","0.3","0.0","6.3"
"Tommy Sweeney","NYG","3.7","28.8","0.3","0.0","4.4"
"Nick Muse","MIN","0.0","24.2","0.3","0.0","4.2"
"Blake Whiteheart","ARI","0.0","24.2","0.3","0.0","4.2"
"Tanner Taula","TB","0.0","24.2","0.3","0.0","4.2"
"Feleipe Franks","ATL","3.1","28.9","0.2","0.0","4.2"
"Parker Hesse","ATL","2.9","27.8","0.2","0.0","4.0"
"Sean McKeon","DAL","1.1","18.6","0.3","0.0","3.6"
"Kevin Rader","TEN","0.8","16.2","0.3","0.0","3.3"
"Tyree Jackson","NYG","1.2","15.9","0.2","0.0","3.1"
"Pharaoh Brown","NE","0.0","32.5","0.0","0.1","3.1"
"Tyler Mabry","SEA","0.8","7.8","0.1","0.0","1.3"
"Ben Mason","BAL","0.3","2.0","0.0","0.0","0.2"
""
""
