"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Roschon Johnson","CHI","94.9","345.4","1.8","8.9","95.9","0.5","0.7","56.7"
"Deuce Vaughn","DAL","73.3","306.1","1.8","14.2","113.4","0.6","0.8","54.4"
"Chase Brown","CIN","56.8","238.7","1.4","14.8","124.7","0.5","0.8","46.3"
"Latavius Murray","BUF","58.9","281.5","1.6","10.3","71.0","0.2","0.0","45.9"
"Evan Hull","IND","69.9","274.5","1.3","8.7","82.8","0.3","0.3","45.0"
"Matt Breida","NYG","56.5","249.4","1.2","12.2","95.2","0.2","0.8","41.3"
"Isaiah Spiller","LAC","64.5","251.4","1.1","7.9","65.4","0.2","0.3","39.0"
"Zach Evans","LAR","53.7","208.3","1.2","8.9","81.2","0.4","0.5","37.7"
"Sean Tucker","TB","56.0","220.4","0.8","11.7","89.8","0.3","0.3","37.6"
"Zamir White","LV","59.2","228.0","1.7","6.5","31.0","0.2","0.2","36.9"
"Rico Dowdle","DAL","57.3","214.3","1.3","6.8","53.0","0.2","0.2","35.8"
"Trayveon Williams","CIN","58.4","226.9","0.9","10.3","73.2","0.3","0.9","35.7"
"JaMycal Hasty","JAC","37.5","180.8","1.0","13.2","93.8","0.4","0.2","35.6"
"Pierre Strong Jr.","CLE","41.1","200.4","1.1","8.5","74.6","0.2","0.2","35.1"
"Myles Gaskin","MIN","46.3","185.5","0.9","13.7","89.8","0.4","0.4","34.9"
"Ronald Jones II","DAL","59.3","235.9","1.2","2.7","36.0","0.1","0.4","34.2"
"Michael Carter","NYJ","42.4","161.8","0.7","12.6","114.1","0.4","0.2","33.8"
"Craig Reynolds","DET","35.9","154.3","1.0","14.1","97.1","0.4","0.1","33.5"
"Jaleel McLaughlin","DEN","42.2","180.5","1.3","10.4","59.0","0.3","0.2","33.0"
"Ke'Shawn Vaughn","TB","53.1","209.7","1.3","6.9","43.8","0.2","0.6","32.9"
"Jordan Mason","SF","54.3","238.6","0.9","2.8","31.4","0.1","0.2","32.8"
"Raheem Blackshear","CAR","34.4","128.2","1.3","12.9","91.2","0.3","0.4","30.7"
"Chris Rodriguez Jr.","WAS","40.1","167.6","0.9","10.0","65.6","0.2","0.2","29.5"
"Eric Gray","NYG","51.2","172.5","1.0","6.2","57.1","0.3","0.6","29.3"
"Ameer Abdullah","LV","27.8","95.6","0.4","18.8","137.6","0.6","0.1","29.1"
"Chris Evans","CIN","34.2","128.8","0.5","10.7","88.3","0.5","0.2","27.3"
"Melvin Gordon III","BAL","33.3","153.0","0.6","11.2","78.9","0.3","0.8","26.7"
"Zonovan Knight","DET","53.6","173.5","0.5","9.3","60.9","0.2","0.2","26.7"
"DeeJay Dallas","SEA","20.3","123.5","0.6","11.2","90.2","0.3","0.1","26.4"
"Owen Wright","BAL","0.0","145.0","1.1","6.5","41.2","0.2","0.2","25.9"
"Anthony McFarland Jr.","PIT","21.9","130.3","0.7","10.2","60.8","0.3","0.1","24.7"
"Salvon Ahmed","MIA","35.3","135.3","0.7","6.7","56.8","0.2","0.0","24.6"
"Malik Davis","DAL","51.1","181.0","0.0","0.0","62.8","0.0","0.3","23.8"
"Boston Scott","PHI","30.5","138.7","1.1","3.6","32.2","0.1","0.2","23.7"
"Tyrion Davis-Price","SF","30.6","149.5","0.7","3.7","38.6","0.1","0.2","23.2"
"Mike Boone","HOU","21.7","117.2","0.5","14.0","61.0","0.2","0.0","22.0"
"Dare Ogunbowale","HOU","26.7","99.5","0.7","10.0","60.4","0.2","0.1","21.3"
"Corey Clement","ARI","19.6","110.7","0.6","11.4","54.9","0.2","0.0","21.2"
"Justice Hill","BAL","28.5","126.3","0.4","8.8","51.2","0.2","0.2","21.1"
"DeWayne McBride","MIN","62.3","143.2","0.3","2.0","48.1","0.1","0.2","20.9"
"Kevin Harris","NE","30.6","107.9","0.5","10.1","55.6","0.2","0.1","20.7"
"Emari Demercado","ARI","36.9","113.3","0.7","7.2","40.9","0.2","0.1","20.4"
"Julius Chestnut","TEN","26.3","100.2","0.6","8.0","56.9","0.2","0.1","20.3"
"Kyle Juszczyk","SF","9.1","30.6","0.4","13.1","111.2","0.6","0.0","20.1"
"Tyler Badie","DEN","15.2","95.9","0.5","14.7","58.4","0.2","0.1","19.8"
